#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_akami;Akami;Akami;Akami;;Akami;;;;;;;;;x
b_akami_adj;Akamian;;akamer;;;;;;;;;;;x
b_aketsu;Aketsu;Aketsu;Aketsu;;Aketsu;;;;;;;;;x
b_aketsu_adj;Aketsian;;aketser;;;;;;;;;;;x
b_amaterasu_seido;Amaterasu Seido;Amaterasu Seido;Amaterasu Seido;;Amaterasu Seido;;;;;;;;;x
b_amaterasu_seido_adj;Amaterasu Seidian;;Amaterasu Seider;;;;;;;;;;;x
b_anshin_province;Anshin province;Anshin province;Anshin province;;Anshin province;;;;;;;;;x
b_anshin_province_adj;Anshin provincean;;Anshin provincer;;;;;;;;;;;x
b_anshini_province;Anshini province;Anshini province;Anshini province;;Anshini province;;;;;;;;;x
b_anshini_province_adj;Anshini provincean;;Anshini provincer;;;;;;;;;;;x
b_aojiroi_oku_heigen_seido;Aojiroi Oku Heigen Seido;Aojiroi Oku Heigen Seido;Aojiroi Oku Heigen Seido;;Aojiroi Oku Heigen Seido;;;;;;;;;x
b_aojiroi_oku_heigen_seido_adj;Aojiroi Oku Heigen Seidian;;Aojiroi Oku Heigen Seider;;;;;;;;;;;x
b_asahina_battle_school;Asahina Battle School;Asahina Battle School;Asahina Battle School;;Asahina Battle School;;;;;;;;;x
b_asahina_battle_school_adj;Asahina Battle Schoolian;;Asahina Battle Schooler;;;;;;;;;;;x
b_asako_temple;Asako Temple;Asako Temple;Asako Temple;;Asako Temple;;;;;;;;;x
b_asako_temple_adj;Asako Templean;;Asako Templer;;;;;;;;;;;x
b_ashini_mura;Ashini Mura;Ashini Mura;Ashini Mura;;Ashini Mura;;;;;;;;;x
b_ashini_mura_adj;Ashini Muran;;Ashini Murer;;;;;;;;;;;x
b_ashio_mura;Ashio Mura;Ashio Mura;Ashio Mura;;Ashio Mura;;;;;;;;;x
b_ashio_mura_adj;Ashio Muran;;Ashio Murer;;;;;;;;;;;x
b_beiden;Beiden;Beiden;Beiden;;Beiden;;;;;;;;;x
b_beiden_adj;Beidenian;;beidener;;;;;;;;;;;x
b_bells_of_the_dead;Bells of the Dead;Bells of the Dead;Bells of the Dead;;Bells of the Dead;;;;;;;;;x
b_bells_of_the_dead_adj;Bells of the Deadian;;Bells of the Deader;;;;;;;;;;;x
b_benten_seido;Benten Seido;Benten Seido;Benten Seido;;Benten Seido;;;;;;;;;x
b_benten_seido_adj;Benten Seidian;;Benten Seider;;;;;;;;;;;x
b_bikami;Bikami;Bikami;Bikami;;Bikami;;;;;;;;;x
b_bikami_adj;Bikamian;;bikamer;;;;;;;;;;;x
b_bishamon_seido;Bishamon Seido;Bishamon Seido;Bishamon Seido;;Bishamon Seido;;;;;;;;;x
b_bishamon_seido_adj;Bishamon Seidian;;Bishamon Seider;;;;;;;;;;;x
b_blue_crysanthemum_village;Blue Crysanthemum Village;Blue Crysanthemum Village;Blue Crysanthemum Village;;Blue Crysanthemum Village;;;;;;;;;x
b_blue_crysanthemum_village_adj;Blue Crysanthemum Villagean;;Blue Crysanthemum Villager;;;;;;;;;;;x
b_bugaisha_mura;Bugaisha Mura;Bugaisha Mura;Bugaisha Mura;;Bugaisha Mura;;;;;;;;;x
b_bugaisha_mura_adj;Bugaisha Muran;;Bugaisha Murer;;;;;;;;;;;x
b_capital;Capital;Capital;Capital;;Capital;;;;;;;;;x
b_capital_adj;Capitalian;;capitaler;;;;;;;;;;;x
b_castle_of_the_tortoise;Castle Of The Tortoise;Castle Of The Tortoise;Castle Of The Tortoise;;Castle Of The Tortoise;;;;;;;;;x
b_castle_of_the_tortoise_adj;Castle Of The Tortoisean;;Castle Of The Tortoiser;;;;;;;;;;;x
b_central_castle;Central Castle;Central Castle;Central Castle;;Central Castle;;;;;;;;;x
b_central_castle_adj;Central Castlean;;Central Castler;;;;;;;;;;;x
b_chai_seido;Chai Seido;Chai Seido;Chai Seido;;Chai Seido;;;;;;;;;x
b_chai_seido_adj;Chai Seidian;;Chai Seider;;;;;;;;;;;x
b_champion_shrine_village;Champion Shrine Village;Champion Shrine Village;Champion Shrine Village;;Champion Shrine Village;;;;;;;;;x
b_champion_shrine_village_adj;Champion Shrine Villagean;;Champion Shrine Villager;;;;;;;;;;;x
b_childs_innocence_monastery;Childs Innocence Monastery;Childs Innocence Monastery;Childs Innocence Monastery;;Childs Innocence Monastery;;;;;;;;;x
b_childs_innocence_monastery_adj;Childs Innocence Monasterian;;Childs Innocence Monasterer;;;;;;;;;;;x
