#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_adauchi_province;Adauchi province;Adauchi province;Adauchi province;;Adauchi province;;;;;;;;;x
c_adauchi_province_adj;Adauchi provincean;;Adauchi provincer;;;;;;;;;;;x
c_anei_province;An'ei province;An'ei province;An'ei province;;An'ei province;;;;;;;;;x
c_anei_province_adj;An'ei provincean;;An'ei provincer;;;;;;;;;;;x
c_anshin_province;Anshin province;Anshin province;Anshin province;;Anshin province;;;;;;;;;x
c_anshin_province_adj;Anshin provincean;;Anshin provincer;;;;;;;;;;;x
c_anshin_province_2;Anshin province;Anshin province;Anshin province;;Anshin province;;;;;;;;;x
c_anshin_province_2_adj;Anshin provincean;;Anshin provincer;;;;;;;;;;;x
c_aoijiroi_province;Aoijiroi province;Aoijiroi province;Aoijiroi province;;Aoijiroi province;;;;;;;;;x
c_aoijiroi_province_adj;Aoijiroi provincean;;Aoijiroi provincer;;;;;;;;;;;x
c_ashinagabachi_province;Ashinagabachi province;Ashinagabachi province;Ashinagabachi province;;Ashinagabachi province;;;;;;;;;x
c_ashinagabachi_province_adj;Ashinagabachi provincean;;Ashinagabachi provincer;;;;;;;;;;;x
c_azuma_province;Azuma province;Azuma province;Azuma province;;Azuma province;;;;;;;;;x
c_azuma_province_adj;Azuma provincean;;Azuma provincer;;;;;;;;;;;x
c_bachiatari_province;Bachiatari province;Bachiatari province;Bachiatari province;;Bachiatari province;;;;;;;;;x
c_bachiatari_province_adj;Bachiatari provincean;;Bachiatari provincer;;;;;;;;;;;x
c_beiden_province;Beiden province;Beiden province;Beiden province;;Beiden province;;;;;;;;;x
c_beiden_province_adj;Beiden provincean;;Beiden provincer;;;;;;;;;;;x
c_chuugen_province;Chuugen province;Chuugen province;Chuugen province;;Chuugen province;;;;;;;;;x
c_chuugen_province_adj;Chuugen provincean;;Chuugen provincer;;;;;;;;;;;x
c_chuuhan_province;Chuuhan province;Chuuhan province;Chuuhan province;;Chuuhan province;;;;;;;;;x
c_chuuhan_province_adj;Chuuhan provincean;;Chuuhan provincer;;;;;;;;;;;x
c_chuuou_province;Chuuou province;Chuuou province;Chuuou province;;Chuuou province;;;;;;;;;x
