#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_agasha_province;Agasha Province;Agasha Province;Agasha Province;;Agasha Province;;;;;;;;;x
d_agasha_province_adj;Agasha Provincean;;Agasha Provincer;;;;;;;;;;;x
d_akodo_province;Akodo Province;Akodo Province;Akodo Province;;Akodo Province;;;;;;;;;x
d_akodo_province_adj;Akodo Provincean;;Akodo Provincer;;;;;;;;;;;x
d_asahina_province;Asahina Province;Asahina Province;Asahina Province;;Asahina Province;;;;;;;;;x
d_asahina_province_adj;Asahina Provincean;;Asahina Provincer;;;;;;;;;;;x
d_asako_province;Asako Province;Asako Province;Asako Province;;Asako Province;;;;;;;;;x
d_asako_province_adj;Asako Provincean;;Asako Provincer;;;;;;;;;;;x
d_bayushi_province ;Bayushi Province ;Bayushi Province ;Bayushi Province ;;Bayushi Province ;;;;;;;;;x
d_bayushi_province _adj;Bayushi Province ian;;Bayushi Province er;;;;;;;;;;;x
d_daidoji_province;Daidoji Province;Daidoji Province;Daidoji Province;;Daidoji Province;;;;;;;;;x
d_daidoji_province_adj;Daidoji Provincean;;Daidoji Provincer;;;;;;;;;;;x
d_doji_province;Doji Province;Doji Province;Doji Province;;Doji Province;;;;;;;;;x
d_doji_province_adj;Doji Provincean;;Doji Provincer;;;;;;;;;;;x
d_hida_province;Hida Province;Hida Province;Hida Province;;Hida Province;;;;;;;;;x
d_hida_province_adj;Hida Provincean;;Hida Provincer;;;;;;;;;;;x
d_hiruma_province;Hiruma Province;Hiruma Province;Hiruma Province;;Hiruma Province;;;;;;;;;x
d_hiruma_province_adj;Hiruma Provincean;;Hiruma Provincer;;;;;;;;;;;x
d_ikoma_province;Ikoma Province;Ikoma Province;Ikoma Province;;Ikoma Province;;;;;;;;;x
d_ikoma_province_adj;Ikoma Provincean;;Ikoma Provincer;;;;;;;;;;;x
d_isawa_province;Isawa Province;Isawa Province;Isawa Province;;Isawa Province;;;;;;;;;x
d_isawa_province_adj;Isawa Provincean;;Isawa Provincer;;;;;;;;;;;x
d_kaiu_province;Kaiu Province;Kaiu Province;Kaiu Province;;Kaiu Province;;;;;;;;;x
d_kaiu_province_adj;Kaiu Provincean;;Kaiu Provincer;;;;;;;;;;;x
d_kakita_province;Kakita Province;Kakita Province;Kakita Province;;Kakita Province;;;;;;;;;x
d_kakita_province_adj;Kakita Provincean;;Kakita Provincer;;;;;;;;;;;x
d_kitsu_province;Kitsu Province;Kitsu Province;Kitsu Province;;Kitsu Province;;;;;;;;;x
d_kitsu_province_adj;Kitsu Provincean;;Kitsu Provincer;;;;;;;;;;;x
d_kitsuki_province;Kitsuki Province;Kitsuki Province;Kitsuki Province;;Kitsuki Province;;;;;;;;;x
d_kitsuki_province_adj;Kitsuki Provincean;;Kitsuki Provincer;;;;;;;;;;;x
d_kitsune_province;Kitsune Province;Kitsune Province;Kitsune Province;;Kitsune Province;;;;;;;;;x
d_kitsune_province_adj;Kitsune Provincean;;Kitsune Provincer;;;;;;;;;;;x
d_kuni_province;Kuni Province;Kuni Province;Kuni Province;;Kuni Province;;;;;;;;;x
d_kuni_province_adj;Kuni Provincean;;Kuni Provincer;;;;;;;;;;;x
d_matsu_province;Matsu Province;Matsu Province;Matsu Province;;Matsu Province;;;;;;;;;x
d_matsu_province_adj;Matsu Provincean;;Matsu Provincer;;;;;;;;;;;x
d_mirumoto_province;Mirumoto Province;Mirumoto Province;Mirumoto Province;;Mirumoto Province;;;;;;;;;x
d_mirumoto_province_adj;Mirumoto Provincean;;Mirumoto Provincer;;;;;;;;;;;x
d_moshi_province;Moshi Province;Moshi Province;Moshi Province;;Moshi Province;;;;;;;;;x
d_moshi_province_adj;Moshi Provincean;;Moshi Provincer;;;;;;;;;;;x
d_shadowlands;Shadowlands;Shadowlands;Shadowlands;;Shadowlands;;;;;;;;;x
d_shadowlands_adj;Shadowlandsian;;shadowlandser;;;;;;;;;;;x
d_shiba_province;Shiba Province;Shiba Province;Shiba Province;;Shiba Province;;;;;;;;;x
d_shiba_province_adj;Shiba Provincean;;Shiba Provincer;;;;;;;;;;;x
d_shosuro_province ;Shosuro Province ;Shosuro Province ;Shosuro Province ;;Shosuro Province ;;;;;;;;;x
d_shosuro_province _adj;Shosuro Province ian;;Shosuro Province er;;;;;;;;;;;x
d_soshi_province ;Soshi Province ;Soshi Province ;Soshi Province ;;Soshi Province ;;;;;;;;;x
d_soshi_province _adj;Soshi Province ian;;Soshi Province er;;;;;;;;;;;x
d_tamori_province;Tamori Province;Tamori Province;Tamori Province;;Tamori Province;;;;;;;;;x
d_tamori_province_adj;Tamori Provincean;;Tamori Provincer;;;;;;;;;;;x
d_togashi_province;Togashi Province;Togashi Province;Togashi Province;;Togashi Province;;;;;;;;;x
d_togashi_province_adj;Togashi Provincean;;Togashi Provincer;;;;;;;;;;;x
d_tsuruchi_province;Tsuruchi Province;Tsuruchi Province;Tsuruchi Province;;Tsuruchi Province;;;;;;;;;x
d_tsuruchi_province_adj;Tsuruchi Provincean;;Tsuruchi Provincer;;;;;;;;;;;x
d_yasuki_province;Yasuki Province;Yasuki Province;Yasuki Province;;Yasuki Province;;;;;;;;;x
